 Filename:   3DC_P3S_02.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.71 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.9 mbar
 Air temperature (start)            29.9 C   
 Re 1m /10.E6                     2.5192
 Air density (start)              1.0998 kg/m**3 
 Air kin. viscosity (start)  0.16925E-04 m**2/s

 Date            22-MAY-90
 Time            08:04:55

*****************************************************

 x [mm] =     0.00

 z [mm] =  -150.00

 temperature   [C] =     30.0

 density [kg/m**3] =  1.09887

 y [mm]   Q  [m/s]  yaw[deg]  

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4224    0.1411
  75.000   44.4105    0.1123
  70.000   44.4089    0.1196
  65.000   44.4087    0.0791
  62.000   44.3702    0.0857
  60.000   44.2782    0.0812
  58.000   44.2414    0.0660
  56.000   44.1569    0.0485
  54.000   44.0702    0.0270
  52.000   43.8808    0.0165
  50.000   43.7795   -0.0133
  48.000   43.5567   -0.0069
  46.000   43.3853   -0.0230
  44.000   43.1261    0.0061
  42.000   42.8745   -0.0092
  40.000   42.5725    0.0122
  38.000   42.2956    0.0423
  36.000   41.9698    0.0684
  34.000   41.7279    0.0619
  32.000   41.3251    0.1191
  30.000   41.0766    0.1396
  28.000   40.6058    0.1848
  26.000   40.2920    0.2249
  24.000   39.8885    0.2575
  22.000   39.3421    0.3626
  20.000   38.8281    0.4208
  19.000   38.6035    0.4258
  18.000   38.3206    0.4651
  17.000   38.0459    0.5395
  16.000   37.8673    0.5699
  15.000   37.4235    0.6099
  14.000   37.1167    0.6394
  13.000   36.6941    0.6812
  12.000   36.3442    0.7442
  11.000   35.8393    0.7991
  10.000   35.5828    0.7471
   9.000   35.0626    0.8534
   8.000   34.5426    0.8208
   7.000   33.7051    0.9149
   6.000   33.1075    0.9167
   5.000   32.4111    0.9782
   4.500   31.8841    1.0428
   4.000   31.4697    0.9167
   3.500   31.0612    0.9117
