# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 15
             TABLE C. 6           CASE R.ST6      Station=  1
             X/H=  -4.0      Tunnel Run#=  12   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.047 -0.024 13.85  8.47 -3.62   9.65  4.45 -3.28 -3.65
            3  0.15 -0.034 -0.027 16.41 11.27 -4.25  12.46  5.70 -3.89 -4.48
            4  0.20 -0.007 -0.035 19.14 12.99 -5.46  12.23  5.23 -3.59 -4.20
            5  0.30  0.047 -0.051 23.66 16.17 -7.51   7.96  3.59 -2.03 -3.38
            6  0.40  0.106 -0.059 25.88 17.62 -8.41   0.38 -0.16  1.61 -0.60
            7  0.50  0.169 -0.064 25.84 18.86 -8.64  -6.46 -3.62  2.73  2.61
            8  0.60  0.239 -0.066 25.06 18.33 -8.76 -11.81 -6.80  5.73  4.54
            9  0.70  0.306 -0.066 22.67 17.21 -7.99 -11.66 -7.72  6.56  4.60
           10  0.80  0.371 -0.064 21.25 15.71 -7.46 -11.82 -7.59  7.21  5.89
           11  0.90  0.433 -0.062 19.09 13.75 -6.66  -8.60 -6.95  5.91  5.55
           12  1.00  0.494 -0.057 17.26 12.26 -5.83 -10.76 -6.09  6.10  4.80
           13  1.10  0.553 -0.052 14.58 10.74 -4.77  -9.20 -5.74  5.15  4.48
           14  1.15  0.583 -0.051 13.46  9.72 -4.27  -9.00 -5.11  4.70  3.86
           15  1.20  0.612 -0.049 12.33  8.70 -3.77  -8.80 -4.48  4.26  3.24
           16  1.30  0.663 -0.044  9.85  6.83 -2.92  -7.00 -3.77  3.32  2.82
           17  1.40  0.710 -0.041  7.32  5.41 -2.29  -4.76 -2.76  2.57  2.56
           18  1.50  0.747 -0.038  5.40  3.90 -1.55  -2.54 -1.55  1.44  1.53
           19  1.70  0.804 -0.036  3.28  2.48 -0.75  -0.62 -0.32  0.31  0.39
           20  2.00  0.862 -0.032  2.05  1.55 -0.43  -0.37 -0.19  0.20  0.19
           21  2.40  0.917 -0.025  1.00  0.80 -0.03  -0.14 -0.05  0.08  0.06
           22  2.80  0.937 -0.018  0.50  0.47  0.13   0.02  0.01  0.00  0.00
           23  3.20  0.938 -0.010  0.46  0.43  0.15   0.04  0.03  0.01  0.02
