%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 768
%  N_r                         = 140
%  N_theta                     = 768
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 17000
%  Friction Reynolds number    = 495.3
%  Friction coefficient        = 0.02716
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.4224609102E+03    0.2148865819E+02   -0.8826152006E+00    0.7751173403E+00    0.4924613088E+00    0.5085401159E+00    0.1431444017E+00    0.9521699571E+00
    0.4270995096E+03    0.2151248612E+02   -0.8799833521E+00    0.7604960852E+00    0.4889457929E+00    0.5016739608E+00    0.1340752677E+00    0.9315759239E+00
    0.4317499367E+03    0.2153487503E+02   -0.8774345255E+00    0.7465999652E+00    0.4856876517E+00    0.4951765942E+00    0.1249937623E+00    0.9120439051E+00
    0.4364121343E+03    0.2155576743E+02   -0.8749371517E+00    0.7334414543E+00    0.4826749764E+00    0.4890299520E+00    0.1159014512E+00    0.8936226042E+00
    0.4410860464E+03    0.2157510136E+02   -0.8724453089E+00    0.7210380217E+00    0.4798856463E+00    0.4832402936E+00    0.1067952381E+00    0.8763458062E+00
    0.4457716173E+03    0.2159283907E+02   -0.8699026667E+00    0.7093591772E+00    0.4772900329E+00    0.4778378888E+00    0.9767131116E-01    0.8602241729E+00
    0.4504687920E+03    0.2160894617E+02   -0.8672489576E+00    0.6984055171E+00    0.4748571946E+00    0.4728440666E+00    0.8852864352E-01    0.8452584314E+00
    0.4551775163E+03    0.2162342495E+02   -0.8644219454E+00    0.6881595587E+00    0.4725590970E+00    0.4682681602E+00    0.7937076421E-01    0.8314571731E+00
    0.4598977365E+03    0.2163624574E+02   -0.8613482913E+00    0.6786867625E+00    0.4703673628E+00    0.4640798998E+00    0.7018641589E-01    0.8188531663E+00
    0.4646293993E+03    0.2164750554E+02   -0.8579221062E+00    0.6698862542E+00    0.4682399246E+00    0.4602508441E+00    0.6098357911E-01    0.8074958533E+00
    0.4693724524E+03    0.2165710151E+02   -0.8539785961E+00    0.6621001305E+00    0.4661132818E+00    0.4566598620E+00    0.5174277160E-01    0.7974508479E+00
    0.4741268437E+03    0.2166541813E+02   -0.8492527947E+00    0.6551913826E+00    0.4638842747E+00    0.4532672349E+00    0.4252603795E-01    0.7887521353E+00
    0.4788925219E+03    0.2167194805E+02   -0.8433359059E+00    0.6504710515E+00    0.4614585497E+00    0.4497350649E+00    0.3314418947E-01    0.7813946870E+00
    0.4836694361E+03    0.2167923161E+02   -0.8354785234E+00    0.6471773975E+00    0.4586249691E+00    0.4465006007E+00    0.2398572099E-01    0.7751843860E+00
    0.4884575362E+03    0.2168387602E+02   -0.8244605964E+00    0.6518407722E+00    0.4560089108E+00    0.4422667079E+00    0.1191965171E-01    0.7700901550E+00
    0.4932567723E+03    0.2172519913E+02   -0.8069370002E+00    0.6871026974E+00    0.4539061508E+00    0.4434740407E+00                 NaN    0.7654084638E+00
